,device_name,assetnum,location,gmtoolno,description,gmassettype,gmstation,gmmaintainer,gmmecenter,status,siteid,manufacturer,zone,sub_zone,station_number,item,item_number,process,process_number,plant_group,plant_group_number,provided_by
170,AD002R02B05,9.00001E+11,BS.AD.STA.002,F344403_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F344403,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
171,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F213509,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F213509,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
172,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F210405,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F210405,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
173,AD003R01B05,9.00001E+11,BS.AD.STA.003,F346297_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F346297,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
174,AD003R01B05,9.00001E+11,BS.AD.STA.003,F342393_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F342393,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
175,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F214440,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F214440,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
176,AD002R01B05,9.00001E+11,BS.AD.STA.002,F347757_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F347757,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
177,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F214172,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F214172,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
178,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F215426,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F215426,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
179,AD002R01B05,9.00001E+11,BS.AD.STA.002,F347505_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F347505,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
180,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F210137,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F210137,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
181,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F216954,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F216954,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
182,AD003R01B05,9.00001E+11,BS.AD.STA.003,F343047_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F343047,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
183,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F216496,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F216496,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
184,AD002R02B05,9.00001E+11,BS.AD.STA.002,F344640_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F344640,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
185,AD002R01B05,9.00001E+11,BS.AD.STA.002,F346943_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F346943,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
186,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F214204,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F214204,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
187,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F210957,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F210957,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
188,AB020R01B05,9E+11,BS.AB.STA.020,AB020_R01_B05 CTRL_F212344,ROBOT CONTROLLER BS.AB.STA.020 AB020_R01_B05 CTRL_F212344,Robot,020-B05,BODY,BODY,OPERATING,1546,FU17,A,B,20,R,1,,,B,5,SYSTEM
189,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F210521,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F210521,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
190,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F215556,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F215556,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
191,AD004R01B05,9.00001E+11,BS.AD.STA.004,F347588_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F347588,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
192,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F213487,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F213487,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
193,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F216070,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F216070,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
